slug,name_en,name_bn,description_en,description_bn,type,price,sale_price,unit,stock,is_active,tags,image_url,agro_id,agro_url,agro_category,match_score,cloudinary_url
ectonil-vet-powder-5x10-g-7359,Ectonil-Vet Powder 5X10 g,একটোনিল-ভেট পাউডার ৫x১০ গ্রাম প্যাকেট,"Composition: Each gm powder contains Metrifonate USP (Trichlorfon) 1 gm. Indication: Biting and sucking lice, mange mites, fleas, flies, red avian mites (Dermanyssus avium, D. gallinae). Scaly leg mites (Cnemidocoptes mutans). Skin larvae of Hypoderma bovis, Hypoderma lineatum, Dermatobia hominis, stomach bots (Gasterophilus spp), Tick and roundworms (Hump Sore). Dosage and Administration: Cattle, pig, horse, sheep, and goat : Wash or spray treatment of the whole animal; repeat after 5 days. Con","ইঙ্গিত: উকুন কামড়ানো এবং চোষা, ম্যাঞ্জে মাইট, মাছি, মাছি, লাল এভিয়ান মাইট (ডারম্যানিসাস অ্যাভিয়াম, ডি. গ্যালিনা)। আঁশযুক্ত পায়ের মাইট (সেনিডোকপ্টেস মিউট্যান্স)। হাইপোডার্মা বোভিস, হাইপোডার্মা লাইনেটাম, ডার্মাটোবিয়া হোমিনিস, পেটের বট (গ্যাস্টেরোফিলাস স্পপি), টিক এবং রাউন্ডওয়ার্ম (হাম্প সোর) এর ত্বকের লার্ভা। মাত্রা ও প্রয়োগ: গরু, শূকর, ঘোড়া, ভেড়া এবং ছাগল: পুরো পশু ধুয়ে ফেলুন বা স্প্রে করুন; ৫ দিন পর পুনরাবৃত্তি করুন। ঘনত্ব ০.১৫% দ্রবণ (প্রতি লিটার পানিতে ১.৫ গ্রাম)। মৌখিক প্রয়োগ: ৫০-৭",vet_supply,187,178,10gm,40,false,imported:agromukam,https://cdn.agromukam.com/images/p_img9868.webp,7359,https://agromukam.com/ectonil-vet-powder-5x10-g-2,"Cattle > Cattle Hygiene & Grooming > Lice, Mites, Flies & Mosquito repellent",0.58,https://res.cloudinary.com/oeon1p4w/image/upload/v1783713443/products/ectonil-vet-powder-5x10-g-7359.webp
otc-vet-powder-100g-4198,OTC Vet Powder 100g,ওটিসি ভেট পাউডার 100 গ্রাম,"Indication OTC Vet bolus is indicated for the treatment and control of conditions caused by or associated with oxytetracycline susceptible organisms. A large number of Gram-positive and Gram-negative bacteria, mycoplasma, rickettsiae and certain pathogenic fungi are sensitive to OTC Vet bolus. Some specific indications for cattle, buffalo, horse, sheep, goat, dog, cat and poultry are as follows: Anthrax, Mastitis, Haemorrhagic septicaemia,Pyometra, Black quarter, Metritis, Malignant Oedema, Pneu","নির্দেশনাঃ গবাদি পশু,গরু, ভেড়া, ছাগল, কুকুর, বিড়াল এবং হাঁস-মুরগির : অ্যানথ্রাক্স, ম্যাস্টাইটিস, হেমোরেজিক সেপটিসেমিয়া, পাইমেট্রা, ব্ল্যাক কোয়ার্টার, মেট্রিটাইটিস, ম্যালিগন্যান্ট ইডিমা, নিউমোনিয়া, ব্রুসেলোসিস, ডিহর্নিং, কিউহেরাইটিস পোড়া, ক্ষত, বাছুরের ঘা, ক্যাস্ট্রেশন, ডায়রিয়া, অ্যাক্টিনোমাইকোসিস, সংক্রামক এন্টারাইটিস, অ্যানাপ্লাজমোসিস, নেভাল ইল, অ্যাবসেস, কক্সিডিওসিস, ফুট পচা, বাছুরের ডিপথেরিয়া এবং এফএমডিতে সেকেন্ডারি ব্যাকটেরিয়া সংক্রমণ নিরাময়ে। ডোজ এবং প্রশাসনঃ নিরাময় না হওয়া পর্য",vet_supply,90,86,100gm,40,false,imported:agromukam,https://cdn.agromukam.com/images/p_img4516.webp,4198,https://agromukam.com/otc-vet-powder-100g,Cattle > Cattle Medication > Antibiotics,0.55,https://res.cloudinary.com/oeon1p4w/image/upload/v1783713443/products/otc-vet-powder-100g-4198.webp
otc-vet-powder-500g-4201,OTC Vet Powder 500g,ওটিসি ভেট পাউডার 500 গ্রাম,"Indication OTC Vet bolus is indicated for the treatment and control of conditions caused by or associated with oxytetracycline susceptible organisms. A large number of Gram-positive and Gram-negative bacteria, mycoplasma, rickettsiae and certain pathogenic fungi are sensitive to OTC Vet bolus. Some specific indications for cattle, buffalo, horse, sheep, goat, dog, cat and poultry are as follows: Anthrax, Mastitis, Haemorrhagic septicaemia,Pyometra, Black quarter, Metritis, Malignant Oedema, Pneu","নির্দেশনাঃ গবাদি পশু,গরু, ভেড়া, ছাগল, কুকুর, বিড়াল এবং হাঁস-মুরগির : অ্যানথ্রাক্স, ম্যাস্টাইটিস, হেমোরেজিক সেপটিসেমিয়া, পাইমেট্রা, ব্ল্যাক কোয়ার্টার, মেট্রিটাইটিস, ম্যালিগন্যান্ট ইডিমা, নিউমোনিয়া, ব্রুসেলোসিস, ডিহর্নিং, কিউহেরাইটিস পোড়া, ক্ষত, বাছুরের ঘা, ক্যাস্ট্রেশন, ডায়রিয়া, অ্যাক্টিনোমাইকোসিস, সংক্রামক এন্টারাইটিস, অ্যানাপ্লাজমোসিস, নেভাল ইল, অ্যাবসেস, কক্সিডিওসিস, ফুট পচা, বাছুরের ডিপথেরিয়া এবং এফএমডিতে সেকেন্ডারি ব্যাকটেরিয়া সংক্রমণ নিরাময়ে। ডোজ এবং প্রশাসনঃ নিরাময় না হওয়া পর্য",vet_supply,378,360,500gm,40,false,imported:agromukam,https://cdn.agromukam.com/images/p_img4520.webp,4201,https://agromukam.com/otc-vet-powder-500g,Cattle > Cattle Medication > Antibiotics,0.55,https://res.cloudinary.com/oeon1p4w/image/upload/v1783713443/products/otc-vet-powder-500g-4201.webp
otc-vet-powder-1kg-4200,OTC Vet Powder 1kg,ওটিসি ভেট পাউডার 1 কেজি,"Indication OTC Vet bolus is indicated for the treatment and control of conditions caused by or associated with oxytetracycline susceptible organisms. A large number of Gram-positive and Gram-negative bacteria, mycoplasma, rickettsiae and certain pathogenic fungi are sensitive to OTC Vet bolus. Some specific indications for cattle, buffalo, horse, sheep, goat, dog, cat and poultry are as follows: Anthrax, Mastitis, Haemorrhagic septicaemia,Pyometra, Black quarter, Metritis, Malignant Oedema, Pneu","নির্দেশনাঃ গবাদি পশু,গরু, ভেড়া, ছাগল, কুকুর, বিড়াল এবং হাঁস-মুরগির : অ্যানথ্রাক্স, ম্যাস্টাইটিস, হেমোরেজিক সেপটিসেমিয়া, পাইমেট্রা, ব্ল্যাক কোয়ার্টার, মেট্রিটাইটিস, ম্যালিগন্যান্ট ইডিমা, নিউমোনিয়া, ব্রুসেলোসিস, ডিহর্নিং, কিউহেরাইটিস পোড়া, ক্ষত, বাছুরের ঘা, ক্যাস্ট্রেশন, ডায়রিয়া, অ্যাক্টিনোমাইকোসিস, সংক্রামক এন্টারাইটিস, অ্যানাপ্লাজমোসিস, নেভাল ইল, অ্যাবসেস, কক্সিডিওসিস, ফুট পচা, বাছুরের ডিপথেরিয়া এবং এফএমডিতে সেকেন্ডারি ব্যাকটেরিয়া সংক্রমণ নিরাময়ে। ডোজ এবং প্রশাসনঃ নিরাময় না হওয়া পর্য",vet_supply,733,697,1kg,40,false,imported:agromukam,https://cdn.agromukam.com/images/p_img4519.webp,4200,https://agromukam.com/otc-vet-powder-1kg,Cattle > Cattle Medication > Antibiotics,0.55,https://res.cloudinary.com/oeon1p4w/image/upload/v1783713444/products/otc-vet-powder-1kg-4200.webp
stomavet-powder-20g-sachet-5430,Stomavet Powder - 20g Sachet,স্টমাভেট পাউডার - ২০ গ্রাম স্যাশে,"""composition"": ""Each 100 gm Powder contains: Ammonium Bi Carbonate BP - 25g, Nux Vomica Powder BP - 7gm, Sodium Bicarbonate BP - 65gm, Gentian Powder - 1.5g, Ginger Powder 1.5g"", ""indication"": ""\""For the treatment of ruminant animals suffering from indigestion, inappetence, anorexia, gastritis and ruminal impaction\"""", ""dosage"": ""\""Cattle &amp; Buffaloes : For 100-300 kg body weight : 1-2 sachets (20-40g) For 301-500 kg body weight : 3 sachets (60g); Calves, Sheeps &amp; Goats : For 15-25 kg bod","কার্যকরী উপাদান প্রতি ১০০ গ্রাম পাউডারে আছে অ্যামোনিয়াম বাইকার্বনেট বিপি.......২৫.০ গ্রাম নাক্সভোমিকা পাউডার বিপি ... ৭.০ গ্রাম সোডিয়াম বাইকার্বনেট বিপি..৬৫.০ গ্রাম জেনসিয়ান পাউডার বিপি,.........১.৫ গ্রাম জিনজার পাউডার ...১.৫ গ্রাম ব্যবহার ক্ষেত্র : গবাদি প্রাণীর বদহজম, পাকস্থলীর প্রদাহ, পেট ফাঁপা, খাওয়া-দাওয়ায় অরুচি ও ক্ষুধা-মন্দা দূর করার জন্য । সেবন বিধি গরু ও মহিষ : ১০০-৩০০ কেজি দৈহিক ওজনের জন্য: ১-২ স্যাশে ৩০১-৫০০ কেজি দৈহিক ওজনের জন্য: ৩ স্যাশে বাছুর, ছাগল ও ভেড়া ১৫-২৫ কেজি দৈহিক ওজ",vet_supply,17.5,17,20gm,40,false,imported:agromukam,https://cdn.agromukam.com/images/p_img6573.webp,5430,https://agromukam.com/stomavet-powder-20-x-20g-sachet,Cattle > Cattle Medication > Dermatological Product,0.54,https://res.cloudinary.com/oeon1p4w/image/upload/v1783713444/products/stomavet-powder-20g-sachet-5430.webp
fl-care-vet-powder-25-gm-5053,FL Care Vet Powder 25 gm,এফ এল কেয়ার ভেট পাউডার ২৫ গ্রাম,Description: FL Care vet powder is specially indicated for FMD &amp; Lumpy Skin Disease (LSD) of cattle. Composition: Each 100 gm powder contains Vitamin C (as L- Ascorbate -2- Phosphate) 3000 mg Iodine (as Potassium Iodide USP) 200 mg Glutamic Acid BP 1500 mg Vitamin E 2000 mg Zinc (as Zinc Sulfate Monohydrate) 600 mg Cobalt (as Cobalt Sulphate Heptahydrate) 10 mg Selenium Enrichedd Mode of Action: Vitamin C (as L- Ascorbate -2- Phosphate) - Increases immunit and Eliminates any kind of disturba,বর্ণনা: FL কেয়ার ভেট পাউডার বিশেষভাবে গবাদি পশুর FMD এবং লম্পি স্কিন ডিজিজের (LSD) জন্য নির্দেশিত। গঠন: প্রতিটি 100 গ্রাম পাউডার রয়েছে ভিটামিন সি (এল- অ্যাসকরবেট -২- ফসফেট হিসাবে) 3000 মিলিগ্রাম আয়োডিন (পটাসিয়াম আয়োডাইড ইউএসপি হিসাবে) 200 মিলিগ্রাম গ্লুটামিক অ্যাসিড বিপি 1500 মিলিগ্রাম ভিটামিন ই 2000 মিলিগ্রাম জিঙ্ক (জিঙ্ক সালফেট মনোহাইড্রেট হিসাবে) 600 মিলিগ্রাম কোবাল্ট (কোবল্ট সালফেট হেপ্টাহাইড্রেট হিসাবে) 10 মিগ্রা সেলেনিয়াম সমৃদ্ধ কার্যপ্রণালী: ভিটামিন সি (এল- অ্যাসকরবেট -২- ফসফেট হিসা,vet_supply,45,38,25gm,40,false,imported:agromukam,https://cdn.agromukam.com/images/p_img6207.webp,5053,https://agromukam.com/fl-care-vet-powder-100-gm-copy,Cattle > Cattle Medication > Dermatological Product,0.54,https://res.cloudinary.com/oeon1p4w/image/upload/v1783713444/products/fl-care-vet-powder-25-gm-5053.webp
cib-vet-powder-30-gm-4901,CIB Vet Powder 30 gm,সিআইবি ভেট  পাউডার ৩০ গ্রাম,"Description CIB Vet powder is specially designed formula for the better immunity of cattle. Composition Each gram powder contains Vitamin C (as L- Ascorbate -2- Phosphate) 30 mg, Vitamin E Acetate 20 mg, Zinc Sulfate Monohydrate 16.64 mg, Glutamic Acid 15 mg, Potassium Iodide Enriched, Cobalt Sulphate Heptahydrate Enriched, Sodium Selenite Enriched. Mode of Action Vitamin C- Increases immunity &amp; Eliminates any kind of disturbance Vitamin E Acetate and Sodium Selenite - Acts as an anti-oxidan","বর্ণনা CIB Vet পাউডার গবাদি পশুদের ভাল রোগ প্রতিরোধ ক্ষমতার জন্য বিশেষভাবে ডিজাইন করা হয়েছে। গঠন প্রতিটি গ্রাম পাউডার থাকে ভিটামিন সি (এল- অ্যাসকরবেট -২- ফসফেট হিসাবে) 30 মিলিগ্রাম, ভিটামিন ই অ্যাসিটেট 20 মিলিগ্রাম, জিঙ্ক সালফেট মনোহাইড্রেট 16.64 মিলিগ্রাম, গ্লুটামিক অ্যাসিড 15 মিলিগ্রাম, পটাসিয়াম আয়োডাইড সমৃদ্ধ, কোবাল্ট সালফেট হেপ্টাহাইড্রেট সমৃদ্ধ, সোডিয়াম সেলেনাইট সমৃদ্ধ। কার্যপ্রণালী ভিটামিন সি- রোগ প্রতিরোধ ক্ষমতা বাড়ায় এবং যেকোনো ধরনের ঝামেলা দূর করে ভিটামিন ই অ্যাসিটেট এবং সোডিয়াম ",vet_supply,50,44,30gm,40,false,imported:agromukam,https://cdn.agromukam.com/images/p_img6189.webp,4901,https://agromukam.com/cib-vet-powder-100-gm-copy,Cattle > Cattle Medication > Immune Enhancers,0.54,https://res.cloudinary.com/oeon1p4w/image/upload/v1783713444/products/cib-vet-powder-30-gm-4901.webp
cib-vet-powder-100-gm-4900,CIB Vet Powder 100 gm,সিআইবি ভেট  পাউডার ১০০ গ্রাম,"Description CIB Vet powder is specially designed formula for the better immunity of cattle. Composition Each gram powder contains Vitamin C (as L- Ascorbate -2- Phosphate) 30 mg, Vitamin E Acetate 20 mg, Zinc Sulfate Monohydrate 16.64 mg, Glutamic Acid 15 mg, Potassium Iodide Enriched, Cobalt Sulphate Heptahydrate Enriched, Sodium Selenite Enriched. Mode of Action Vitamin C- Increases immunity &amp; Eliminates any kind of disturbance Vitamin E Acetate and Sodium Selenite - Acts as an anti-oxidan","বর্ণনা CIB Vet পাউডার গবাদি পশুদের ভাল রোগ প্রতিরোধ ক্ষমতার জন্য বিশেষভাবে ডিজাইন করা হয়েছে। গঠন প্রতিটি গ্রাম পাউডার থাকে ভিটামিন সি (এল- অ্যাসকরবেট -২- ফসফেট হিসাবে) 30 মিলিগ্রাম, ভিটামিন ই অ্যাসিটেট 20 মিলিগ্রাম, জিঙ্ক সালফেট মনোহাইড্রেট 16.64 মিলিগ্রাম, গ্লুটামিক অ্যাসিড 15 মিলিগ্রাম, পটাসিয়াম আয়োডাইড সমৃদ্ধ, কোবাল্ট সালফেট হেপ্টাহাইড্রেট সমৃদ্ধ, সোডিয়াম সেলেনাইট সমৃদ্ধ। কার্যপ্রণালী ভিটামিন সি- রোগ প্রতিরোধ ক্ষমতা বাড়ায় এবং যেকোনো ধরনের ঝামেলা দূর করে ভিটামিন ই অ্যাসিটেট এবং সোডিয়াম ",vet_supply,170,146,100gm,40,false,imported:agromukam,https://cdn.agromukam.com/images/p_img6190.webp,4900,https://agromukam.com/cib-vet-powder-100-gm,Cattle > Cattle Medication > Immune Enhancers,0.54,https://res.cloudinary.com/oeon1p4w/image/upload/v1783713444/products/cib-vet-powder-100-gm-4900.webp
fl-care-vet-powder-100-gm-5051,FL Care Vet Powder 100 gm,এফ এল কেয়ার ভেট পাউডার ১০০গ্রাম,Description: FL Care vet powder is specially indicated for FMD &amp; Lumpy Skin Disease (LSD) of cattle. Composition: Each 100 gm powder contains Vitamin C (as L- Ascorbate -2- Phosphate) 3000 mg Iodine (as Potassium Iodide USP) 200 mg Glutamic Acid BP 1500 mg Vitamin E 2000 mg Zinc (as Zinc Sulfate Monohydrate) 600 mg Cobalt (as Cobalt Sulphate Heptahydrate) 10 mg Selenium Enrichedd Mode of Action: Vitamin C (as L- Ascorbate -2- Phosphate) - Increases immunit and Eliminates any kind of disturba,বর্ণনা: FL কেয়ার ভেট পাউডার বিশেষভাবে গবাদি পশুর FMD এবং লম্পি স্কিন ডিজিজের (LSD) জন্য নির্দেশিত। গঠন: প্রতিটি 100 গ্রাম পাউডার রয়েছে ভিটামিন সি (এল- অ্যাসকরবেট -২- ফসফেট হিসাবে) 3000 মিলিগ্রাম আয়োডিন (পটাসিয়াম আয়োডাইড ইউএসপি হিসাবে) 200 মিলিগ্রাম গ্লুটামিক অ্যাসিড বিপি 1500 মিলিগ্রাম ভিটামিন ই 2000 মিলিগ্রাম জিঙ্ক (জিঙ্ক সালফেট মনোহাইড্রেট হিসাবে) 600 মিলিগ্রাম কোবাল্ট (কোবল্ট সালফেট হেপ্টাহাইড্রেট হিসাবে) 10 মিগ্রা সেলেনিয়াম সমৃদ্ধ কার্যপ্রণালী: ভিটামিন সি (এল- অ্যাসকরবেট -২- ফসফেট হিসা,vet_supply,170,146,100gm,40,false,imported:agromukam,https://cdn.agromukam.com/images/p_img6208.webp,5051,https://agromukam.com/fl-care-vet-powder-100-gm,Cattle > Cattle Medication > Dermatological Product,0.54,https://res.cloudinary.com/oeon1p4w/image/upload/v1783713444/products/fl-care-vet-powder-100-gm-5051.webp
doxigard-powder-100-gm-3593,Doxigard Powder 100 gm,ডক্সিগার্ড পাউডার 100 গ্রাম,"Doxigard powder is active against a wide range of Gram positive and Gram negative bacteria including Mycoplasma spp. Doxigard powder is indicated for the control with treatment of infections caused by Escherichia coli, Mycoplasma gallisepticum, Mycoplasma synoviae and complicated chronic respiratory disease (CRD) in growing chicken, resulting in maintenance of weight gain and in reduction of mortality and lesions.","ডক্সিগার্ড পাউডার মাইকোপ্লাজমা এসপিপি সহ গ্রাম পজিটিভ এবং গ্রাম নেতিবাচক ব্যাকটেরিয়ার বিস্তৃত পরিসরের বিরুদ্ধে সক্রিয়। এস্ছেরিচিয়া কোলি, মাইকোপ্লাজমা গ্যালিসেপটিকাম, মাইকোপ্লাজমা সাইনোভিয়া এবং ক্রমবর্ধমান মুরগির জটিল দীর্ঘস্থায়ী শ্বাসযন্ত্রের রোগ (CRD) দ্বারা সৃষ্ট সংক্রমণের চিকিৎসার সাথে নিয়ন্ত্রণের জন্য ডক্সিগার্ড পাউডার নির্দেশিত হয়, যার ফলে ওজন বৃদ্ধি রক্ষণাবেক্ষণ এবং মৃত্যুহার এবং ক্ষত হ্রাস হয়।",vet_supply,165,147,100gm,40,false,imported:agromukam,https://cdn.agromukam.com/images/p_img3184.webp,3593,https://agromukam.com/doxigard-100-gm-powder,Cattle > Cattle Medication > Antibacterials,0.54,https://res.cloudinary.com/oeon1p4w/image/upload/v1783713443/products/doxigard-powder-100-gm-3593.webp
